id,En_symbol,part of,math,math formula,Tex formula,unit of measure,vars,Ro description,En description,En wiki
,,e,U_{ef},,,,,tensiunea efectivă a curentului alternativ,effective tension of the alternative current,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,I_{ef},{U_{ef}}/{Z},{U_{ef}}/{Z},A,,intensitatea efectiva pentru un circuit paralel RLC,effective intensity for a parallel RLC circuit,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,Z,1/sqrt(1/R^2 + (1/X_L -1/ X_C)^2),1/\sqrt{1/R^2 + (1/X_L -1/ X_C)^2},Omega,,impedanţa circuitului pentru un circuit paralel RLC,circuit impedance for a parallel circuit RLC,https://en.wikipedia.org/wiki/Electrical_impedance
,,e,R,,,,,rezistenţa ohmică,ohmic resistance,https://en.wikipedia.org/wiki/Dielectric_spectroscopy#Ohmic_resistance
,,e,X_L,,,,,reactanţa inductivă,inductive reactance,https://en.wikipedia.org/wiki/Electrical_reactance#Inductive_reactance
,,e,X_C,,,,,reactanţa capacitivă,the capacitive reactance,https://en.wikipedia.org/wiki/Electrical_reactance
,,e,vec j,sigma * vec E,\sigma * \vec E,A*m^{-2},,densitate de curent pentru semiconductori,current density for semiconductors,https://en.wikipedia.org/wiki/Current_density
,,e,sigma,vec j / vec E,,,,conductivitatea semiconductorului,the conductivity of the semiconductor,https://en.wikipedia.org/wiki/Conductivity
,,e,vec E,vec j / sigma,,,,intensitatea câmpului electric exterior,external electric field strength,https://en.wikipedia.org/wiki/Electric_field
,,m,theta,theta_0 + omega*(t - t_0),\theta_0 + \omega*(t - t_0) ,rad,,unghiul din legea mişcării circulare uniforme,the angle of the law of the uniform circular motion,https://en.wikipedia.org/wiki/Circular_motion
,,m,theta_0,,,rad,,unghiul la centru măturat de raza vectoare la momentul t0,the angle to the centre swept from the vector ray at the moment t0,https://en.wikipedia.org/wiki/Angle
,,m,omega,,,,,viteza unghiulara din legea mişcării circulare uniforme,the angular velocity of the uniform circular motion law,https://en.wikipedia.org/wiki/Angular_velocity
,,m,vec omega,constant,constant,rad*s^{-1},,viteza unghiulara din legea mişcării circulare uniforme,the angular velocity of the uniform circular motion law,https://en.wikipedia.org/wiki/Angular_velocity
,,m,y(t),A*sin(omega*t + varphi_0),A*\sin(\omega*t + \varphi_0),m,,legile miscarii oscilatorii armonice: legea spatiului,the laws of the harmonic oscillator movement: space law,https://en.wikipedia.org/wiki/Simple_harmonic_motion
,,m,A,,,,,amplitudinea oscilatorului,the amplitude of the oscillator,https://en.wikipedia.org/wiki/Amplitude
,,m,omega,,,,,pulsație,pulse,
,,m,varphi_0,,,,,faza inițială la momentul t=0,the initial phase at the moment t=0,
,,m,v(t),omega * A * cos(omega*t + varphi_0),\omega * A * \cos(\omega*t + \varphi_0),m*s^{-1},,viteza oscilatorului liniar armonic din legile miscarii oscilatorii armonice: legea vitezei,velocity of the linear harmonic oscillator from the laws of harmonic oscillator movement: the law of the velocity,https://en.wikipedia.org/wiki/Electronic_oscillator
,,m,A,,,,,amplitudinea oscilatorului,the oscillator amplitude,https://en.wikipedia.org/wiki/Electronic_oscillator
,,m,omega,,,,,pulsație,pulsation,
,,m,varphi_0,,,,,faza inițială la momentul t=0,initial phase at the moment t=0,
,,m,a(t),-A*omega^2*sin(omega*t + varphi_0),-A*\omega^2*\sin(\omega*t + \varphi_0),m*s^{-2},,acceleraţia oscilatorului liniar armonic din legile miscarii oscilatorii armonice: legea acceleraţiei,the acceleration of the linear harmonic oscillator from the laws of oscillator harmonic movevement: acceleration's law,https://en.wikipedia.org/wiki/Electronic_oscillator
,,m,A,,,,,amplitudinea oscilatorului,the oscillator amplitude,https://en.wikipedia.org/wiki/Electronic_oscillator
,,m,omega,,,,,pulsație,pulsation,
,,m,varphi_0,,,,,faza inițială la momentul t=0,the initial phase at moment t = 0,
,,m,vec r,vec r_0 + vec v * (t - t_0),\vec r_0 + \vec v * (t - t_0),n,,vectorul de poziţie la momentul t din Legile mişcării rectilinii uniforme,position vector at time t from the Uniform rectilinear motion laws,https://en.wikipedia.org/wiki/Linear_motion
,,m,vec r_0,,,,,vectorul de poziţie la momentul t0,position vector at the moment t0,
,,m,vec v,constant,constant,,,viteza punctului material,material point velocity,https://en.wikipedia.org/wiki/Position_(vector)
,,m,vec r,vec r_0 + vec v_0 *(t - t_0) + 1/2 * vec a * (t - t_0)^2,\vec r_0 + \vec v_0 *(t - t_0) + 1/2 * \vec a * (t - t_0)^2,m,,vectorul de poziţie la momentul t din Legile mişcării rectilinii uniforme: Legea de mișcare a spațiului,position vector at time t from the Uniform rectilinear motion laws: Space movement's law,https://en.wikipedia.org/wiki/Position_(vector)
,,m,vec r_0,,,,,vectorul de poziţie la momentul t0,position vector at time t0,https://en.wikipedia.org/wiki/Position_(vector)
,,m,vec v_0,,,,,viteza iniţială a punctului material,the initial velocity of the material point,https://en.wikipedia.org/wiki/Velocity
,,m,a,,,,,acceleraţia mişcării,movement's acceleration,https://en.wikipedia.org/wiki/Acceleration
,,m,vec v,vec v_0 + vec a * (t - t_0),\vec v_0 + \vec a * (t - t_0),m * s^{-1},,viteza punctului material la momentul t din legea vitezei,the velocity of the material point at time t from the Velocity's law,https://en.wikipedia.org/wiki/Velocity
,,m,vec a,,,,,acceleraţia mişcării,movement's acceleration,https://en.wikipedia.org/wiki/Acceleration
,,m,vec v_0,,,,,viteza iniţială a punctului material la momentul t0,initial velocity of the material point at time t0,https://en.wikipedia.org/wiki/Velocity
,,"m,o,r",/_ i,/_ r,/_ r,rad,,"unghi de incidenţă din legea reflexiei undelor (mecanice, electromagnetice)","angle of incidence from the Law of the reflection of the waves (mechanical, electromagnetic)",https://en.wikipedia.org/wiki/Angle_of_incidence_(optics)
,,"m,o,r",/_ r,/_ i,/_ i,rad,,unghi de reflexie,angle of reflection,https://en.wikipedia.org/wiki/Reflection_(physics)
,,"m,o,r",n_{21},n_2 / n_1,n_2 / n_1,,,"indice de refracţie al mediului 2 faţă de mediul 1 din legea refracţiei undelor (mecanice, electromagnetice)","environmental refractive index of the medium 2 to the medium 1 of the Law of the refraction of the waves (mechanical, electromagnetic)",https://en.wikipedia.org/wiki/Refraction
,,"m,o,r",n_{21},v_1 / v_2,v_1 / v_2,,,"indice de refracţie al mediului 2 faţă de mediul 1 din legea refracţiei undelor (mecanice, electromagnetice)","environmental refractive index of the medium 2 to the medium 1 of the Law of the refraction of the waves (mechanical, electromagnetic)",https://en.wikipedia.org/wiki/Refraction
,,"m,o,r",n_{21},lambda_1 / lambda_2,\lambda_1 / \lambda_2,,,"indice de refracţie al mediului 2 faţă de mediul 1 din legea refracţiei undelor (mecanice, electromagnetice)","environmental refractive index of the medium 2 to the medium 1 of the Law of the refraction of the waves (mechanical, electromagnetic)",https://en.wikipedia.org/wiki/Refraction
,,"m,o,r",n_{21},sin i / sin r,\sin i / \sin r,,,"indice de refracţie al mediului 2 faţă de mediul 1 din legea refracţiei undelor (mecanice, electromagnetice)","environmental refractive index of the medium 2 to the medium 1 of the Law of the refraction of the waves (mechanical, electromagnetic)",https://en.wikipedia.org/wiki/Refraction
,,"m,o,r",/_ i,,,,,unghi de incidenţă,angle of incidence,https://en.wikipedia.org/wiki/Angle_of_incidence_(optics)
,,"m,o,r",/_ r,,,,,unghi de refracţie,angle of refraction,https://en.wikipedia.org/wiki/Refraction
,,"m,o,r",v_1,,,,,viteza de propagare a undei în mediul 1,wave propagation velocity in the medium 1,https://en.wikipedia.org/wiki/Wave_propagation#Wave_velocity
,,"m,o,r",v_2,,,,,viteza de propagare a undei în mediul 2,wave propagation velocity in the medium 2,https://en.wikipedia.org/wiki/Wave_propagation#Wave_velocity
,,"m,o,r",lambda_1,,,,,lungimea de undă a undei în mediul 1,the wavelength of the wave in the medium 1,https://en.wikipedia.org/wiki/Wavelength
,,"m,o,r",lambda_2,,,,,lungimea de undă a undei în mediul 2,the wavelength of the wave in the medium 2,https://en.wikipedia.org/wiki/Wavelength
,,"m,o,r",n_1,,,,,indice de refracţie absolut al mediului 1,absolute refractive index of the medium 1,https://en.wikipedia.org/wiki/Refraction
,,"m,o,r",n_2,,,,,indice de refracţie absolut al mediului 2,absolute refractive index of the medium 2,https://en.wikipedia.org/wiki/Refraction
,,n,Lambda,Lambda_0*e^{-lambda * t},\Lambda_0*e^{-\lambda * t},Bq,,activitatea sursei radioactive la momentul t din legea de variaţie a activităţii unei surse radioactive,radioactive source activity at time t in the Law of variation of a radioactive source activity,https://en.wikipedia.org/wiki/Radioactive_source
,,n,Lambda_0,,,,,activitatea sursei la momentul iniţial (t=0),source activity at initial time (t=0),
,,n,lambda,,,,,constanta radioactivă,radioactive constant,https://en.wikipedia.org/wiki/Radioactive_decay
,,"a,n",N,N_0 * e^{- 1/tau},N_0 * e^{- 1/\tau},1,,numărul de sisteme în stare excitată la momentul t din legea de variaţie a numărului de sisteme în stare excitată,the number of systems in the excited state at time t from the Law of variation of the number of systems in the excited state,
,,"a,n",N_0,,,1,,numărul de sisteme în stare excitată la momentul t=0,the number of systems in the excited state at time t = 0,
,,"a,n",tau,,,s,,timpul mediu de viată al stării excitate,the average lifetime of the excited state,
,,m,L,vec F * vec d,\vec F * \vec d,J,,lucrul mecanic al forţei F,the mechanical work of the force F,https://en.wikipedia.org/wiki/Work_(physics)
,,m,L,F*d*cos(alpha),F*d*\cos \alpha,J,,Lucru mecanic,mechanical work,https://en.wikipedia.org/wiki/Work_(physics)
,,m,L,Delta E_c,\Delta E_c,J,,Lucru mecanic,mechanical work,https://en.wikipedia.org/wiki/Work_(physics)
,,m,L,L_{int} + L_{ext},L_{int} + L_{ext},J,,Lucru mecanic,mechanical work,https://en.wikipedia.org/wiki/Work_(physics)
,,m,vec F,,,N,,forţa constantă,constant force,https://en.wikipedia.org/wiki/Force
,,m,d,,,m,,deplasarea,displacement,https://en.wikipedia.org/wiki/Displacement_(vector)
,,m,alpha,,,rad,,unghiul dintre F şi d,the angle between F and d,https://en.wikipedia.org/wiki/Angle
,,m,Delta E_c,,,J,,variaţia energiei cinetice a unui punct material care se deplasează sub acţiunea unei forte,variation of kinetic energy of a material point moving under the action of a force,https://en.wikipedia.org/wiki/Kinetic_energy
,,m,L_{int},,,J,,lucrul mecanic al forţelor interne,mechanical work of internal forces,https://en.wikipedia.org/wiki/Work_(physics)
,,m,L_{ext},,,J,,lucrul mecanic al forţelor externe,mechanical work of internal forces,https://en.wikipedia.org/wiki/Work_(physics)
,,m,,,,,,variaţia energiei cinetice a unui sistem de două puncte materiale,variation of kinetic energy of a system of two material points ,https://en.wikipedia.org/wiki/Kinetic_energy
,,m,L,m*g*h,m*g*h,J,,lucrul mecanic efectuat de greutate,mechanical work done by the weight,https://en.wikipedia.org/wiki/Work_(physics)
,,m,L,G*h,G*h,J,,lucrul mecanic efectuat de greutate,mechanical work done by the weight,https://en.wikipedia.org/wiki/Work_(physics)
,,m,G,,,,,greutatea unui punct material de masă m,the weight of a material point of mass m,https://en.wikipedia.org/wiki/Weight
,,m,h,,,,,diferenţa de nivel dintre poziţia iniţială şi cea finală a punctului material,the difference between the initial and the final position of the material point,
,,m,L,- k * x^2 / 2,- k * x^2 / 2,J,,lucrul mecanic efectuat de forţa elastică,mechanical work done by the elastic force,https://en.wikipedia.org/wiki/Work_(physics)
,,m,k,,,,,constanta elastică a unui resort,the elastic constant of a spring,https://en.wikipedia.org/wiki/Elastic_modulus
,,m,x,,,m,,deformarea resortului,spring deformation,https://en.wikipedia.org/wiki/Deformation_(mechanics)
,,m,L,- Delta E_p,- \Delta E_p,J,,"lucrul mecanic efectuat de forţe conservative (forţe gravitaţionale, elastice, electrostatice etc.)","mechanical work done by conservative forces (gravitational, elastic, electrostatic etc. forces)",https://en.wikipedia.org/wiki/Work_(physics)
,,m,Delta E_p,,,,,variaţia energiei potenţiale a sistemului,variation of the potential energy of the system,https://en.wikipedia.org/wiki/Potential_energy
,,m,L,vec F_f * d,\vec F_f * d,J,,mecanic efectuat de forţa de frecare,mechanical work done by the friction force,https://en.wikipedia.org/wiki/Friction
,,m,L,- mu * N * d,- \mu * N * d,J,,mecanic efectuat de forţa de frecare,mechanical work done by the friction force,https://en.wikipedia.org/wiki/Friction
,,m,F_f,,,N,,forţa de frecare,friction force,https://en.wikipedia.org/wiki/Friction
,,m,d,,,m,,deplasarea,displacement,
,,m,mu,,,,,coeficient de frecare,friction coefficient,https://en.wikipedia.org/wiki/Friction
,,m,N,,,N,,forţa de apăsare normală exercitata pe suprafaţa de contact,normal pressure force exerted on the contact surface,https://en.wikipedia.org/wiki/Pressure
,,m,L,- sigma * Delta S,- \sigma * \Delta S,J,,lucrul mecanic efectuat de forţele de tensiune superficială,mechanical work done by superficial tension forces,https://en.wikipedia.org/wiki/Surface_tension
,,m,sigma,,,,,coeficient de tensiune superficială,the coefficient of superficial tension,https://en.wikipedia.org/wiki/Surface_tension
,,m,Delta S,,,m^2,,variaţia suprafeţei stratului superficial,the variation of the surface of the superficial layer,
,,m,L,bar h * nu_0,\bar h * \nu_0,J,,lucrul mecanic de extracţie a unui fotoelectron dintr-un corp,the mechanical work of extraction of a photoelectron's body,https://en.wikipedia.org/wiki/Work_(physics)
,,m,bar h,,,,,constanta lui Planck,Planck's constant,https://en.wikipedia.org/wiki/Planck_constant
,,m,nu_0,,,,,frecventa de prag,threshold frequency,https://en.wikipedia.org/wiki/Photoelectric_effect#Mathematical_description
,,m,bar h * nu_0,,,J,,energia fotonului,photon energy,https://en.wikipedia.org/wiki/Photon
,,m,L,{Q * q}/{4 * pi * varepsilon } (1/r_M - 1/r_N),{Q * q}/{4 * \pi * \varepsilon } (1/r_M - 1/r_N),J,,lucrul mecanic efectuat de forţe electrice în câmp electric,mechanical work done by electrical forces in an electric field,https://en.wikipedia.org/wiki/Work_(physics)
,,m,L,q*(V_M - V_N),q*(V_M - V_N),J,,lucrul mecanic efectuat de forţe electrice în câmp electric,mechanical work done by electrical forces in an electric field,https://en.wikipedia.org/wiki/Work_(physics)
,,m,Q,,,,,sarcina punctiformă care produce câmpul electric,point source that produces the electric field,https://en.wikipedia.org/wiki/Electric_field
,,m,q,,,,,sarcina corpului de probă,sample body's charge,https://en.wikipedia.org/wiki/Electric_charge
,,m,"r_M, r_N",,,,,distanţele la care se află q în raport cu Q în starea iniţială (M) respectiv finală a deplasării (N),the distances where q is in relation to Q in the initial state (M) respectively the final state (N),
,,m,epsilon,,,,,permitivitatea electrică a mediului,electrical permittivity of the environment,https://en.wikipedia.org/wiki/Permittivity
,,m,V_M - V_N,,,,,diferenţa de potenţial dintre punctele M şi N,the potential difference between points M and N,https://en.wikipedia.org/wiki/Potential_energy
,,t,L,p_e * Delta V,p_e * \Delta V,J,,Lucrul mecanic în termodinamică,mechanical work in thermodynamic,https://en.wikipedia.org/wiki/Work_(physics)
,,t,p,p_e,p_e,Pa,,presiunea gazului în transformarea cvasistatică izobară,gas pressure in the isobaric quasi-static transformation ,https://en.wikipedia.org/wiki/Partial_pressure
,,t,,,,,,lucrul mecanic efectuat de o forţă exterioară,mechanical work done by an external force,https://en.wikipedia.org/wiki/Work_(physics)
,,t,p_e,,,Pa,,presiunea externă constantă,constant external pressure,https://en.wikipedia.org/wiki/Pressure
,,t,Delta V,,,m^3,,variaţia volumului gazului,gas volume variation,https://en.wikipedia.org/wiki/Volume_(thermodynamics)
,,t,L,0,0,J,,transformarea izocoră,isochoric transformation,https://en.wikipedia.org/wiki/Isochoric_process
,,t,L,p * Delta V,p * \Delta V,J,,transformarea izobară,isobaric transformation,https://en.wikipedia.org/wiki/Isobaric_process
,,t,L,m/mu * R * Delta T,m/\mu * R * \Delta T,J,,transformarea izobară,isobaric transformation,https://en.wikipedia.org/wiki/Isobaric_process
,,t,L,nu * R * Delta T,\nu * R * \Delta T,J,,transformarea izobară,isobaric transformation,https://en.wikipedia.org/wiki/Isobaric_process
,,t,m,,,kg,,masa gazului,the gas mass,https://en.wikipedia.org/wiki/Vapour_density
,,t,mu,,,kg,,masa unui mol de gaz,the mass of a mole of gas,https://en.wikipedia.org/wiki/Vapour_density
,,t,nu,,,1,,numărul de moli,the number of moles,https://en.wikipedia.org/wiki/Mole_(unit)
,,t,R,,,,,constanta universală a gazelor ideale,universal constant of the ideal gas,https://en.wikipedia.org/wiki/Gas_constant
,,t,L,2.3 * mu * R * T *lg(V_f/V_i),2.3 * \mu * R * T *\lg V_f/V_i,J,,lucrul mecanic in transformarea izotermă,the mechanical work in isothermal transformation,https://en.wikipedia.org/wiki/Work_(physics)
,,t,L,nu * R * T * ln V_f/V_i,\nu * R * T * \ln V_f/V_i,J,,lucrul mecanic in transformarea izotermă,the mechanical work in isothermal transformation,https://en.wikipedia.org/wiki/Work_(physics)
,,t,V_i,,,m^2,,volumul iniţial,the initial volume,https://en.wikipedia.org/wiki/Volume
,,t,V_f,,,m^3,,volumul final,the final volume,https://en.wikipedia.org/wiki/Volume
,,t,T,,,K,,temperatura absolută a gazului,the absolute temperature of the gas,https://en.wikipedia.org/wiki/Temperature
,,t,L,- Delta U,- \Delta U,J,,lucrul mecanic transformarea adiabată,adiabatic transformation of the mechanical work,https://en.wikipedia.org/wiki/Adiabatic_process
,,t,L,nu * C_v * (T_1 - T_2),\nu * C_v * (T_1 - T_2),J,,lucrul mecanic transformarea adiabată,adiabatic transformation of the mechanical work,https://en.wikipedia.org/wiki/Adiabatic_process
,,t,Delta U,,,J,,variaţia energiei interne,internal energy variation,https://en.wikipedia.org/wiki/Internal_energy
,,t,"T_1, T_2",,,K,,temperaturile iniţială şi finală ale gazului,initial and final temperatures of gas,https://en.wikipedia.org/wiki/Temperature
,,t,L,Q * U / 2,Q * U / 2,J,,Lucrul mecanic efectuat la încărcarea condensatorului,the mechanical work performed in the charging of the capacitor,https://en.wikipedia.org/wiki/Capacitor
,,t,Q,,,,,sarcina electrică,the electric charge,https://en.wikipedia.org/wiki/Electric_charge
,,t,U,,,V,,tensiunea electrică între armături,electric tension between reinforcements,https://en.wikipedia.org/wiki/Tension_(physics)
,,"m,o,r",lambda,v * T,v * T,m,,Lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength
,,"m,o,r",lambda,v / nu,v / \nu,m,,Lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength
,,"m,o,r",v,,,m * s_{-1},,viteza de propagare a undei,wave propagation velocity,https://en.wikipedia.org/wiki/Wave_propagation#Wave_velocity
,,"m,o,r",T,,,,,perioada oscilaţiei sursei,the period of the oscillation of the source,https://en.wikipedia.org/wiki/Oscillation
,,"m,o,r",nu,,,,,frecvenţa oscilaţiei sursei,the frequency of the oscillation of the source,https://en.wikipedia.org/wiki/Oscillation
,,"m,o,r",lambda,2 * l * i / D,2 * l * i / D,m,,determinarea lungimii de undă folosind dispozitivul interferenţial Young,the determination of the wavelength using the Young interferential device,https://en.wikipedia.org/wiki/Wavelength
,,"m,o,r",l,,,m,,distanţa dintre sursele coerente,the distance between the coherent sources,https://en.wikipedia.org/wiki/Distance
,,"m,o,r",i,,,m,,interfranja,interfrange,
,,"m,o,r",D,,,m,,distanţa dintre planul surselor şi ecran,the distance between the sources plan and the screen,https://en.wikipedia.org/wiki/Distance
,,"m,o,r",lambda,x / k * f * n,x / k * f * n,m,,determinarea lungimii de undă cu ajutorul reţelei optice,wavelength determination using the optical network,https://en.wikipedia.org/wiki/Wavelength
,,"m,o,r",,,,,,distanţa la care se formează maximul de ordinul k,the distance at which is formed the maximum of order k,
,,"m,o,r",,,,,,distanţa focală a lentilei,the focal length of the lens,https://en.wikipedia.org/wiki/Lens_(optics)
,,"m,o,r",,,,,,numărul de trăsături pe unitatea de lungime a reţelei,the number of features per unit length of the network,
