id,en_symbol,part_of,math_symbol,math_formula,tex_formula,unit,vars,ro_description,en_description,wiki,auto_translation,poswiki
27,V,units,V,W/A,,kg*m^2*s^{−3}*A^{−1},,volt,volt,https://en.wikipedia.org/wiki/Volt,,https://en.wikipedia.org/wiki/volt
28,Pa,units,Pa,N/m^2,,kg*m^{−1}*s^{−2},,pascal,pascal,https://en.wikipedia.org/wiki/Pascal_(unit),,https://en.wikipedia.org/wiki/pascal
29,W,units,W,J/s,,kg*m^2*s^{−3},,watt,watt,https://en.wikipedia.org/wiki/Watt,,https://en.wikipedia.org/wiki/watt
30,lm,units,lm,cd*sr,,cd,,lumen,lumen,https://en.wikipedia.org/wiki/Lumen_(unit),,https://en.wikipedia.org/wiki/lumen
31,Wb,units,Wb,V*s,,kg*m^2*s^{−2}*A^{−1},,weber,weber,https://en.wikipedia.org/wiki/Weber_(unit),,https://en.wikipedia.org/wiki/weber
32,N,units,N,,,kg*m*s^{−2},,newton,newton,https://en.wikipedia.org/wiki/Newton_(unit),,https://en.wikipedia.org/wiki/newton
33,A,units,A,,,,,ampere,ampere,https://en.wikipedia.org/wiki/Ampere,,https://en.wikipedia.org/wiki/ampere
34,lx,units,lx,lm/m^2,,m^{−2}*cd,,lux,lux,https://en.wikipedia.org/wiki/Lux,,https://en.wikipedia.org/wiki/lux
35,H,units,H,Wb/A,,kg*m^2*s^{−2}*A^{−2},,henry,henry,https://en.wikipedia.org/wiki/Henry_(unit),,https://en.wikipedia.org/wiki/henry
36,sr,units,sr,,,m^2*m^{−2},,unghi solid,solid angle,https://en.wikipedia.org/wiki/Solid_angle,,https://en.wikipedia.org/wiki/solid_angle
37,deltat,mecanics,Delta t,t - t_0,t - t_0,s,"t_0, t",intervalul de timp,duration,https://en.wikipedia.org/wiki/Time,,https://en.wikipedia.org/wiki/duration
38,deltav,mecanics,Delta vec v,vec v - vec v_0,\vec v - \vec v_0,m*s^{-1},"vec v,vec v_0",variaţia vectorului viteză,change in velocity,https://en.wikipedia.org/wiki/Delta-v,,
,noWave,electromagnetism,bar nu_{kn} ,nu_kn / c,\nu_{kn} / c,m^{-1},"radFrequency,lightSpeed",număr de undă,wavenumber,https://en.wikipedia.org/wiki/Wavenumber,,wavenumber
,mAcceleration,m,vec a,{ Delta vec v} / {Delta t} ,\frac{\Delta\vec{v}} {\Delta t},m * s^{-2},"Delta v, Delta t",Acceleraţia medie,average acceleration,https://en.wikipedia.org/wiki/Acceleration,average acceleration,https://en.wikipedia.org/wiki/average_acceleration
,vecVariation,m,Delta vec v,{ Delta vec v},{\Delta\vec{v}},,Delta v,variaţia vectorului viteză,velocity vector variation,https://en.wikipedia.org/wiki/Velocity,change in velocity vector,https://en.wikipedia.org/wiki/velocity_vector_variation
37,deltat,m,Delta t,t - t_0,t - t_0,s,"t_0, t",intervalul de timp,duration,https://en.wikipedia.org/wiki/Time,the time,https://en.wikipedia.org/wiki/duration
,momAcceleration ,m,vec a,lim_{Delta t -&gt; 0} {Delta vec v} / {Delta t},\lim_{\Delta t \to 0} \frac{\Delta\vec{v}}{\Delta t},m * s^{-2},"Delta v, Delta t",Acceleraţia momentană,momentary acceleration,https://en.wikipedia.org/wiki/Acceleration,The momentary acceleration,https://en.wikipedia.org/wiki/momentary_acceleration
,velocityVectorVariation,m,Delta vec v,{Delta vec v},{\Delta\vec{v}},,"Delta v, Delta t",variaţia vectorului viteză,velocity vector variation,https://en.wikipedia.org/wiki/Acceleration,change in velocity vector,https://en.wikipedia.org/wiki/velocity_vector_variation
,,m,Delta t,,,,Delta t,intervalul de timp,duration,https://en.wikipedia.org/wiki/Time,the time,https://en.wikipedia.org/wiki/duration
,Acceleration,m,a_{cp},{v^2 } / {R} ,\frac {v^2} {R},m * s^{-2},,Acceleraţia centripetă (normală),centripetal acceleration (normal),https://en.wikipedia.org/wiki/Acceleration#Tangential_and_centripetal_acceleration,Centripetal acceleration (normal),https://en.wikipedia.org/wiki/centripetal_acceleration_(normal)
,Acceleration,m,a_{cp},{omega^2} * {R},\omega^2  R,m * s^{-2},"velocity, R",Acceleraţia centripetă (normală),centripetal acceleration (normal),https://en.wikipedia.org/wiki/Acceleration#Tangential_and_centripetal_acceleration,Centripetal acceleration (normal),https://en.wikipedia.org/wiki/centripetal_acceleration_(normal)
,mVelocity,m,v,v,v,m*s^{-1},,viteza mobilului,velocity mobile,https://en.wikipedia.org/wiki/Acceleration,speed mobile,https://en.wikipedia.org/wiki/velocity_mobile
,anVelocity,m,omega,omega,\omega,m*s^{-1},,viteza unghiulară,angular velocity,https://en.wikipedia.org/wiki/Velocity,angular velocity,https://en.wikipedia.org/wiki/angular_velocity
,,m,R,,,m,,raza traiectoriei circulare,the radius of the circular path,https://en.wikipedia.org/wiki/Radius,the radius of the circular path,https://en.wikipedia.org/wiki/the_radius_of_the_circular_path
,massAcceleration,m,vec a_{CM},{vec F} / {m} ,\frac {\vec F} {m},m * s^{-2},"force, mass",Acceleraţia centrului de masă,acceleration of the mass center,https://en.wikipedia.org/wiki/Acceleration,Acceleration of the mass center,https://en.wikipedia.org/wiki/acceleration_of_the_mass_center
,,m,vec F,,,,,rezultanta forţelor externe,the resultant of external forces,,the result of external forces,https://en.wikipedia.org/wiki/the_resultant_of_external_forces
,,m,m,,,,,masa sistemului,system's mass,https://en.wikipedia.org/wiki/Mass,table system,https://en.wikipedia.org/wiki/system's_mass
,gravAcceleration,m,vec g,{vec G} / {m},\frac {\vec G} {m},m * s^{-2},"mass, weight",Acceleraţia gravitaţională,gravitational acceleration,https://en.wikipedia.org/wiki/Gravitational_acceleration,gravity,https://en.wikipedia.org/wiki/gravitational_acceleration
,weight,m,vec G,,\frac {\vec G},,,greutatea corpului,weight,https://en.wikipedia.org/wiki/Weight,weight,https://en.wikipedia.org/wiki/weight
,mass,m,m,,,,,masa corpului,mass,https://en.wikipedia.org/wiki/Mass,body mass,https://en.wikipedia.org/wiki/mass
,,m,K,,,,,constanta atracţiei universale,universal gravitation constant,https://en.wikipedia.org/wiki/Gravitational_constant,universal gravitation constant,https://en.wikipedia.org/wiki/universal_gravitation_constant
,EarthMass,m,M_P,,,,,masa Pământului,Earth's mass,https://en.wikipedia.org/wiki/Earth,Earths,https://en.wikipedia.org/wiki/Earth's_mass
,,m,r,,,,,distanţa faţă de centrul Pământului,distance from the center of the Earth,https://en.wikipedia.org/wiki/Earth,distance from the center of the Earth,https://en.wikipedia.org/wiki/distance_from_the_center_of_the_Earth
,,m,Gamma,,,,,mărimea intensităţii câmpului gravitaţional,size of the intensity of the gravitation field,https://en.wikipedia.org/wiki/Mechanical_explanations_of_gravitation,size gravitational field strength,https://en.wikipedia.org/wiki/size_of_the_intensity_of_the_gravitation_field
,inclAcceleration,m,a,g * sin(alpha),g\sin \alpha,m * s^{-2},"gravity, angle",Acceleraţia pe planul înclinat (frecare neglijabilă),acceleration on the slope (friction negligible),,Acceleration of the slope (friction negligible),https://en.wikipedia.org/wiki/acceleration_on_the_slope_(friction_negligible)
,gravAcceleration,m,g,,,,,acceleraţia gravitaţională,gravitational acceleration,https://en.wikipedia.org/wiki/Gravitational_acceleration,acceleration of gravity,https://en.wikipedia.org/wiki/gravitational_acceleration
,angle,m,alpha,,,,,unghiul format de planul înclinat cu orizontala,the angle of the slope to the horizontal,https://en.wikipedia.org/wiki/Angle,the angle of the slope to the horizontal,https://en.wikipedia.org/wiki/the_angle_of_the_slope_to_the_horizontal
,nAcceleration,m,vec a_n,{Delta vec v_1 } / {Delta t},\frac {\Delta \vec v_1} {\Delta t},m * s^{-2},"time, velocity variation",Acceleraţiile normală şi tangenţială (componente ale acceleraţiei),normal and tangential accelerations (acceleration component),https://en.wikipedia.org/wiki/Acceleration,Normal and tangential accelerations (acceleration component),https://en.wikipedia.org/wiki/normal_and_tangential_accelerations_(acceleration_component)
,tangAcceleration,m,vec a_t,{Delta vec v_2 } / {Delta t},\frac {\Delta \vec v_2} {\Delta t},m * s^{-2},"time, velocity variation",Acceleraţiile normală şi tangenţială (componente ale acceleraţiei),normal and tangential accelerations (acceleration component),https://en.wikipedia.org/wiki/Acceleration,Normal and tangential accelerations (acceleration component),https://en.wikipedia.org/wiki/normal_and_tangential_accelerations_(acceleration_component)
,,m,vec a,{vec a_n} + {vec a_t},\vec a_n + \vec a_t,m * s^{-2},,Acceleraţiile normală şi tangenţială (componente ale acceleraţiei),normal and tangential accelerations (acceleration component),https://en.wikipedia.org/wiki/Acceleration,Normal and tangential accelerations (acceleration component),https://en.wikipedia.org/wiki/normal_and_tangential_accelerations_(acceleration_component)
,,m,Delta vec v_1,,,,,variaţia vitezei datorată schimbării direcţiei,velocity variation due to reversal of the direction,https://en.wikipedia.org/wiki/Velocity,speed variation due to reversal,https://en.wikipedia.org/wiki/velocity_variation_due_to_reversal_of_the_direction
,,m,Delta vec v_2,,,,,variaţia vitezei datorată schimbării modulului,velocity variation due to the change of the module,https://en.wikipedia.org/wiki/Velocity,speed variation due to changes in module,https://en.wikipedia.org/wiki/velocity_variation_due_to_the_change_of_the_module
,time,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time,the time,https://en.wikipedia.org/wiki/time_interval
,radActivity,m,Lambda,-lim_{Delta t -&gt; 0} {Delta  N} / {Delta t} ,\lim_{\Delta t \to 0} \frac{\Delta N}{\Delta t},Bq,"number of disintegration, time",Activitatea unei surse radioactive,the activity of a radioactive source,https://en.wikipedia.org/wiki/Radioactive_source,The activity of a radioactive source,https://en.wikipedia.org/wiki/the_activity_of_a_radioactive_source
,radActivity,m,Lambda,,,Bq,"radioactive constant, number of cores non-disintegrated",Activitatea unei surse radioactive,the activity of a radioactive source,https://en.wikipedia.org/wiki/Radioactive_source,The activity of a radioactive source,https://en.wikipedia.org/wiki/the_activity_of_a_radioactive_source
,,m,Delta N,,,,,număr de dezintegrări produse,number of disintegrations products,,number of disintegrations products,https://en.wikipedia.org/wiki/number_of_disintegrations_products
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time,the time,https://en.wikipedia.org/wiki/time_interval
,,m,lambda,,,,,constantă radioactivă,radioactive constant,https://en.wikipedia.org/wiki/Radioactive_decay,radioactive constant,https://en.wikipedia.org/wiki/radioactive_constant
,,m,N,,,,,număr de nuclee nedezintegrate,number of nucleus non disintegrated,https://en.wikipedia.org/wiki/Atomic_nucleus,number of nuclei decayed,https://en.wikipedia.org/wiki/number_of_nucleus_non_disintegrated
,relElongation,m,epsilon,{Delta l} / {l_0 } ,\frac {\Delta l} {l_0},,,Alungire relativă (deformaţie specifică),relative elongation (specific strain),,Relative elongation (strain-specific),https://en.wikipedia.org/wiki/relative_elongation_(specific_strain)
,,m,Delta l,,,,,alungire absolută,absolute elongation,,absolute elongation,https://en.wikipedia.org/wiki/absolute_elongation
,,m,l_0,,,,,lungimea iniţială,original length,https://en.wikipedia.org/wiki/Length,original length,https://en.wikipedia.org/wiki/original_length
,,o,A,2 * E_0 * cos( (varphi_1 - varphi_2) / 2),2E_0\cos \frac {\varphi_1 - \varphi_2}{2},m,,Amplitudinea undei rezultante a două unde coerente (interferenţa luminii),the resultant wave amplitude of two coherent waves (light interference),https://en.wikipedia.org/wiki/Amplitude,The resultant wave amplitude coherent two waves (light interference),https://en.wikipedia.org/wiki/the_resultant_wave_amplitude_of_two_coherent_waves_(light_interference)
,,o,E_0,,,m,,Amplitudinea intensităţii componentei electrice a câmpului electromagnetic,the amplitude of the electromagnetic field intensity of the electromagnetic field,https://en.wikipedia.org/wiki/Amplitude,The amplitude of the electromagnetic field intensity of the electrical component,https://en.wikipedia.org/wiki/the_amplitude_of_the_electromagnetic_field_intensity_of_the_electromagnetic_field
,,o,varphi_1 - varphi_2,,,,,diferenţa de fază dintre cele două unde coerente,the phase difference between the two coherent waves,,the phase difference between the two waves consistent,https://en.wikipedia.org/wiki/the_phase_difference_between_the_two_coherent_waves
,,o,r_2 – r_1,,,m,,diferenţa de drum dintre cele două unde coerente,the path difference between the two coherent waves,,the path difference between the two where coherent,https://en.wikipedia.org/wiki/the_path_difference_between_the_two_coherent_waves
,,o,c,,,,,viteza luminii în vid,the velocity of light in vacuum,https://en.wikipedia.org/wiki/Velocity,the speed of light in vacuum,https://en.wikipedia.org/wiki/the_velocity_of_light_in_vacuum
,,o,T,,,,,perioada oscilaţiei (undei) sinusoidale,the oscillation period (wave) sinusoidal,https://en.wikipedia.org/wiki/Oscillation,During oscillation (wave) sinusoidal,https://en.wikipedia.org/wiki/the_oscillation_period_(wave)_sinusoidal
,,o,lambda,,,m,,lungimea de undă a undei luminoase,the wavelength of the light wave,https://en.wikipedia.org/wiki/Light,the wavelength of the light wave,https://en.wikipedia.org/wiki/the_wavelength_of_the_light_wave
,,t,C,Q/{Delta T},\frac {Q}{\Delta T},J * K^{-1},,Capacitate calorică,heat capacity,https://en.wikipedia.org/wiki/Heat_capacity,heat capacity,https://en.wikipedia.org/wiki/heat_capacity
,,t,Q,,,J,,cantitate de căldură,heat quantity,https://en.wikipedia.org/wiki/Heat_capacity,amount of heat,https://en.wikipedia.org/wiki/heat_quantity
,,t,Delta T,,,K,,variaţia temperaturii unui corp,a body temperature variation,https://en.wikipedia.org/wiki/Temperature,a body temperature variation,https://en.wikipedia.org/wiki/a_body_temperature_variation
,,e,C,Q/{V_1 – V_2},\frac {Q}{V_1 – V_2},F,,Capacitatea electrică a unui condensator,electric capacitance of a capacitor,https://en.wikipedia.org/wiki/Capacitance,Capacitance of a capacitor,https://en.wikipedia.org/wiki/electric_capacitance_of_a_capacitor
,,e,C,Q / U,\frac Q U,F,,Capacitatea electrică a unui condensator,electric capacitance of a condenser,https://en.wikipedia.org/wiki/Capacitance,Capacitance of a capacitor,https://en.wikipedia.org/wiki/electric_capacitance_of_a_condenser
,,e,Q,,,,,sarcina electrică de pe o armătură,electrical task on an armature,,the electrical charge on an armature,https://en.wikipedia.org/wiki/electrical_task_on_an_armature
,,e,V_1 – V_2,,,,,diferenţa de potenţial dintre cele două armături,the difference in potential between the two armatures,https://en.wikipedia.org/wiki/Potential_energy,the difference in potential between the two plates,https://en.wikipedia.org/wiki/the_difference_in_potential_between_the_two_armatures
,,e,U,,,,,tensiunea electrică,electric tension,https://en.wikipedia.org/wiki/Voltage,voltage,https://en.wikipedia.org/wiki/electric_tension
,,e,C,Q / V,\frac Q V,F,,Capacitatea electrică a unui conductor electrizat izolat,electric capacitance of an electric insulated conductor ,https://en.wikipedia.org/wiki/Capacitance,Capacitance of an insulated conductor electrified,https://en.wikipedia.org/wiki/electric_capacitance_of_an_electric_insulated_conductor_
,,e,Q,,,,,sarcina electrică a conductorului,conductor's electric task,,electrical load conductor,https://en.wikipedia.org/wiki/conductor's_electric_task
,,e,V,,,,,potenţialul electric al conductorului,the electric potential of the conductor,https://en.wikipedia.org/wiki/Electric_potential,the electric potential of the conductor,https://en.wikipedia.org/wiki/the_electric_potential_of_the_conductor
,,e,C,{varepsilon S}/{d},\frac {\varepsilon S}{d},F,,Capacitatea electrică a unui condensator plan,the electric capacitance of a plan capacitor,https://en.wikipedia.org/wiki/Capacitance,Capacitance of a capacitor,https://en.wikipedia.org/wiki/the_electric_capacitance_of_a_plan_capacitor
,,e,d,,,,,distanţa dintre armături,the distance between the armatures,https://en.wikipedia.org/wiki/Distance,the distance between the plates,https://en.wikipedia.org/wiki/the_distance_between_the_armatures
,,e,varepsilon,,,,,permitivitatea mediului,the permittivity of the environment,https://en.wikipedia.org/wiki/Permittivity,permittivity environment,https://en.wikipedia.org/wiki/the_permittivity_of_the_environment
,,e,S,,,,,suprafaţa comună a armăturilor,common area of ​​the armatures,https://en.wikipedia.org/wiki/Area,Common area of ​​the reinforcements,https://en.wikipedia.org/wiki/common_area_of_​​the_armatures
,,e,C_p,,,,,Capacitatea unei baterii de condensatoare grupate in paralel,the capacity of a battery of condensers in grouped in parallel,https://en.wikipedia.org/wiki/Capacitor#Networks,The capacity of a capacitor in parallel clustered,https://en.wikipedia.org/wiki/the_capacity_of_a_battery_of_condensers_in_grouped_in_parallel
,,e,"C_1, C_2, ...C_n",,,,,capacitatile celor n condensatoare,the capacities of the n condensers,,n capabilities of capacitors,https://en.wikipedia.org/wiki/the_capacities_of_the_n_condensers
,,e,1 / C_s,,,,,Capacitatea unei baterii de condensatoare grupate in serie,the capacity of a battery of condensers in grouped in series,https://en.wikipedia.org/wiki/Capacitor#Networks,The capacity of a capacitor grouped in series,https://en.wikipedia.org/wiki/the_capacity_of_a_battery_of_condensers_in_grouped_in_series
,,e,"C_1, C_2, ...C_n",,,,,capacitatile celor n condensatoare,the capacities of the n condensers,,n capabilities of capacitors,https://en.wikipedia.org/wiki/the_capacities_of_the_n_condensers
,,t,C,Delta U,\Delta U,J,,Cantitatea de căldură,heat quantity,https://en.wikipedia.org/wiki/Heat,The amount of heat,https://en.wikipedia.org/wiki/heat_quantity
,,t,Delta U,,,,,variaţia energiei interne a unui sistem fără efectuare de lucru mecanic (proces izocor),the variation of the internal energy of a system without mechanical work effectuated (isochoric process),,change in internal energy of a system without performing mechanical work (process iso),https://en.wikipedia.org/wiki/the_variation_of_the_internal_energy_of_a_system_without_mechanical_work_effectuated_(isochoric_process)
,,t,Q,0,0,J,,Cantitatea de căldură în transformarea adiabatică a gazului ideal,the heat quantity in adiabatic ideal gas transformation,https://en.wikipedia.org/wiki/Adiabatic_process,The amount of heat in the transformation of the ideal gas adiabatic,https://en.wikipedia.org/wiki/the_heat_quantity_in_adiabatic_ideal_gas_transformation
,,t,,,,,,Cantitatea de caldură in transformarea ciclică bitermă,the heat quantity in cyclic bithermal transformation ,,The amount of heat in cyclic transformation Bithermal,https://en.wikipedia.org/wiki/the_heat_quantity_in_cyclic_bithermal_transformation_
,,t,Q1,,,,,caldura primită,the heat received,https://en.wikipedia.org/wiki/Heat,heat received,https://en.wikipedia.org/wiki/the_heat_received
,,t,Q2,,,,,caldura cedată,the heat ceaded,https://en.wikipedia.org/wiki/Heat,heat transferred,https://en.wikipedia.org/wiki/the_heat_ceaded
,,t,L,,,,,lucrul mecanic efectuat,mechanical work done,https://en.wikipedia.org/wiki/Work_(physics),work done,https://en.wikipedia.org/wiki/mechanical_work_done
,,t,Q,L,L,J,,Cantitatea de căldură în transformarea izobara a gazului ideal,the amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/Heat,The amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/the_amount_of_heat_in_the_ideal_gas_isobaric_transformation
,,t,Q,nu * R * T *ln({V_2} / {V_1}),\nu RT\ln \frac {V_2} {V_1},J,,Cantitatea de căldură în transformarea izobara a gazului ideal,the amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/Heat,The amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/the_amount_of_heat_in_the_ideal_gas_isobaric_transformation
,,t,Q,2.3 * nu * R * T * lg({V_2}/ {V_1}),2.3\nu RT\lg \frac {V_2} {V_1},J,,Cantitatea de căldură în transformarea izobara a gazului ideal,the amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/Heat,The amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/the_amount_of_heat_in_the_ideal_gas_isobaric_transformation
,,t,Q_p,,,,,Cantitatea de căldură în transformarea izobara a gazului ideal,the amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/Heat,The amount of heat in the ideal gas isobaric transformation,https://en.wikipedia.org/wiki/the_amount_of_heat_in_the_ideal_gas_isobaric_transformation
,,t,T,,,,,presiunea gazului,the gas pressure,https://en.wikipedia.org/wiki/Gas,the gas pressure,https://en.wikipedia.org/wiki/the_gas_pressure
,,t,nu,,,,,număr de moli de gaz,the number of moles of gas,https://en.wikipedia.org/wiki/Gas,the number of moles of gas,https://en.wikipedia.org/wiki/the_number_of_moles_of_gas
,,t,C_p,,,,,căldura molară la presiune constantă,molar heat capacity at constant pressure,https://en.wikipedia.org/wiki/Heat_capacity,molar heat capacity at constant pressure,https://en.wikipedia.org/wiki/molar_heat_capacity_at_constant_pressure
,,t,Delta T,,,,,variaţia temperaturii gazului,gas temperature variation,https://en.wikipedia.org/wiki/Gas,gas temperature variation,https://en.wikipedia.org/wiki/gas_temperature_variation
,,t,Delta U,,,,,variaţia energiei interne a gazului,internal gas energy variation,https://en.wikipedia.org/wiki/Gas,internal gas energy change,https://en.wikipedia.org/wiki/internal_gas_energy_variation
,,t,L,,,,,lucrul mecanic in procesul izobar,the mechanical work in isobaric process ,https://en.wikipedia.org/wiki/Work_(thermodynamics),the work in process isobaric,https://en.wikipedia.org/wiki/the_mechanical_work_in_isobaric_process_
,,t,Delta V ,,,,,variaţia volumului gazului,the variation of the volume of the gas,,Gas variation,https://en.wikipedia.org/wiki/the_variation_of_the_volume_of_the_gas
,,t,Q_V,,,,,Cantitatea de căldura in transformarea izocoră a gazului ideal,The amount of heat in the ideal gas isochoric transformation,https://en.wikipedia.org/wiki/Gas,The amount of heat in the ideal gas isochoric transformation,https://en.wikipedia.org/wiki/The_amount_of_heat_in_the_ideal_gas_isochoric_transformation
,,t,nu,,,,,numărul de moli de gaz,the number of moles of gas,https://en.wikipedia.org/wiki/Gas,the number of moles of gas,https://en.wikipedia.org/wiki/the_number_of_moles_of_gas
,,t,C_V,,,,,căldura molară la volum constant,molar heat at constant volume,,molar heat at constant volume,https://en.wikipedia.org/wiki/molar_heat_at_constant_volume
,,t,Delta T,,,,,variaţia temperaturii gazului,gas temperature variation,https://en.wikipedia.org/wiki/Gas,gas temperature variation,https://en.wikipedia.org/wiki/gas_temperature_variation
,,t,Delta U,,,,,variaţia energiei interne a gazului,internal gas energy variation,https://en.wikipedia.org/wiki/Gas,internal gas energy change,https://en.wikipedia.org/wiki/internal_gas_energy_variation
,,t,Q,,,,,Cantitatea de căldura in transformarea izotermă a gazului ideal,the heat quantity in the ideal gas isothermal transformation,https://en.wikipedia.org/wiki/Gas,The amount of heat in the ideal gas isothermal transformation,https://en.wikipedia.org/wiki/the_heat_quantity_in_the_ideal_gas_isothermal_transformation
,,t,T ,,,,,temperatura gazului,gas temperature,https://en.wikipedia.org/wiki/Gas,gas temperature,https://en.wikipedia.org/wiki/gas_temperature
,,t,L,,,,,lucrul mecanic în procesul izoterm,the mechanical work in the isothermal process,https://en.wikipedia.org/wiki/Work_(thermodynamics),the work in the isothermal,https://en.wikipedia.org/wiki/the_mechanical_work_in_the_isothermal_process
,,t,V_2,,,,,volumul final al gazului,the final volume of the gas,https://en.wikipedia.org/wiki/Gas,The final volume of the gas,https://en.wikipedia.org/wiki/the_final_volume_of_the_gas
,,t,V_1,,,,,volumul iniţial al gazului,the initial volume of the gas,https://en.wikipedia.org/wiki/Gas,the initial volume of the gas,https://en.wikipedia.org/wiki/the_initial_volume_of_the_gas
,,t,lambda_l,Q/m,\frac Q m,J * kg^{-1},,Căldura latentă specifică de lichefiere (vaporizare),liquefaction specific latent heat (vapor),https://en.wikipedia.org/wiki/Liquefaction,Liquefaction specific latent heat (vapor),https://en.wikipedia.org/wiki/liquefaction_specific_latent_heat_(vapor)
,,t,Q,,,,,căldura latentă de lichefiere ,the latent heat of liquefaction,https://en.wikipedia.org/wiki/Liquefaction,the latent heat of liquefaction,https://en.wikipedia.org/wiki/the_latent_heat_of_liquefaction
,,t,m,,,,,masa lichidului (gazului),the liquid mass (gas),https://en.wikipedia.org/wiki/Liquefied_gas,the liquid (gas),https://en.wikipedia.org/wiki/the_liquid_mass_(gas)
,,t,lambda_v,Q/m,\frac Q m,J * kg^{-1},,Căldura latentă specifică de vaporizare,specific latent heat of vaporization,https://en.wikipedia.org/wiki/Vaporization,Specific latent heat of vaporization,https://en.wikipedia.org/wiki/specific_latent_heat_of_vaporization
,,t,Q,,,,,căldura latentă de vaporizare,the latent heat of vaporization,https://en.wikipedia.org/wiki/Vaporization,the latent heat of vaporization,https://en.wikipedia.org/wiki/the_latent_heat_of_vaporization
